channel,integral,time
4,1319.469,3787286262.905048
5,1185.667,3787286262.905048
4,1163.473,3787286262.916052
5,1294.0321,3787286262.916052
4,528.0076,3787286262.924903
4,1336.8728,3787286262.929123
4,1131.399,3787286262.9340715
5,1332.826,3787286262.9439697
5,246.3158,3787286262.9452043
5,1208.9882,3787286262.946724
4,894.94464,3787286262.9605155
4,1080.4634,3787286262.966566
4,552.15424,3787286262.9666934
5,1363.4912,3787286262.9722505
5,1048.1504,3787286262.9753275
4,1264.3419,3787286262.9771047
4,1162.6528,3787286262.9832597
5,1361.3608,3787286262.9879975
4,436.06833,3787286262.9879975
4,1205.6611,3787286262.988162
5,1177.37,3787286262.995569
5,1149.7882,3787286263.0009317
5,707.7505,3787286263.0029273
4,1336.5083,3787286263.0068727
4,893.9423,3787286263.0107512
4,1311.7239,3787286263.0140615
5,323.62335,3787286263.016117
4,1335.6882,3787286263.0179954
4,600.5385,3787286263.019573
5,788.02924,3787286263.019573
4,719.7224,3787286263.0234356
5,1286.9125,3787286263.0234356
5,343.24457,3787286263.023505
4,1152.083,3787286263.0254908
5,1184.4897,3787286263.0259356
4,449.00726,3787286263.0278926
5,298.28397,3787286263.028533
5,805.1838,3787286263.02936
4,1280.8345,3787286263.030679
4,1156.8213,3787286263.0355315
5,1478.1912,3787286263.0366964
4,404.26773,3787286263.037665
4,1170.9447,3787286263.049735
4,2106.01,3787286263.054487
5,466.68997,3787286263.0611334
5,835.2883,3787286263.0617576
5,1151.1337,3787286263.0880084
5,1322.2866,3787286263.099602
5,1163.2428,3787286263.103935
5,1401.6685,3787286263.1052647
5,1184.6018,3787286263.1096706
4,837.90405,3787286263.112875
5,1454.926,3787286263.1148987
4,650.5629,3787286263.1156044
4,677.62537,3787286263.123178
5,948.9792,3787286263.126436
4,689.7442,3787286263.1271315
5,268.29156,3787286263.1271315
5,645.97174,3787286263.1285014
5,1155.3383,3787286263.137672
4,631.0634,3787286263.1512117
4,1021.8737,3787286263.1581135
5,277.5976,3787286263.158114
5,610.2051,3787286263.1689634
5,1070.967,3787286263.169462
4,1263.4308,3787286263.169682
5,1183.7048,3787286263.171015
4,1995.5736,3787286263.175883
5,653.65204,3787286263.1762795
5,515.743,3787286263.1777797
4,849.02057,3787286263.1790786
5,928.6292,3787286263.180915
4,813.3019,3787286263.1811976
4,1482.5724,3787286263.1835093
5,1062.1095,3787286263.194088
4,453.28986,3787286263.1949058
4,471.69595,3787286263.19631
4,985.426,3787286263.1964602
4,875.53625,3787286263.1965356
5,2044.5713,3787286263.2003136
4,1329.7655,3787286263.2150035
5,871.83984,3787286263.2160096
5,1360.4639,3787286263.21926
5,1040.1337,3787286263.2192726
5,1355.6987,3787286263.2291055
5,547.92175,3787286263.2307835
4,1154.6344,3787286263.2311125
4,733.11694,3787286263.232032
4,749.8829,3787286263.238124
5,339.37637,3787286263.247448
5,416.96423,3787286263.2511253
5,1527.6366,3787286263.2569795
5,374.24606,3787286263.257643
5,835.2883,3787286263.25835
5,1346.8412,3787286263.259117
5,1203.7185,3787286263.2595153
5,531.15967,3787286263.260599
5,478.4627,3787286263.2606397
4,771.387,3787286263.2621083
5,1946.5774,3787286263.262832
4,877.1764,3787286263.2668586
5,736.6778,3787286263.27625
5,600.33844,3787286263.280321
4,636.16614,3787286263.287747
5,1626.079,3787286263.296529
4,1151.0808,3787286263.3028502
5,2517.8347,3787286263.3032775
5,248.39005,3787286263.3052197
5,1362.8745,3787286263.306688
4,496.38925,3787286263.3128276
5,1037.0504,3787286263.313873
4,929.93445,3787286263.316345
5,537.7748,3787286263.316345
4,894.03345,3787286263.316412
5,993.49133,3787286263.316412
5,405.9203,3787286263.324462
5,1213.0245,3787286263.3268065
4,1061.2372,3787286263.328162
5,1192.5063,3787286263.328162
4,1238.5552,3787286263.330204
4,1206.7546,3787286263.3493037
5,748.3944,3787286263.3493037
4,1777.7075,3787286263.3567905
4,1211.9484,3787286263.3600826
4,766.46655,3787286263.365806
4,833.0747,3787286263.366897
5,1052.411,3787286263.374487
5,1321.8381,3787286263.3793693
4,569.83136,3787286263.3805194
5,551.5657,3787286263.381204
4,1794.2001,3787286263.3919187
4,1326.0297,3787286263.3926206
5,475.43542,3787286263.3926206
4,1182.6991,3787286263.394246
4,626.9631,3787286263.39636
5,230.73096,3787286263.39636
4,454.01883,3787286263.4021535
5,1165.205,3787286263.4023247
5,472.35208,3787286263.405928
5,504.02634,3787286263.410772
5,1293.3033,3787286263.41407
5,1179.1079,3787286263.4143653
5,574.7748,3787286263.41841
5,306.13245,3787286263.4335527
4,1153.0853,3787286263.435368
5,1278.5033,3787286263.435645
5,517.4248,3787286263.4375353
5,1581.679,3787286263.4389477
4,707.7858,3787286263.4433217
4,1343.889,3787286263.4457517
5,759.6626,3787286263.4463725
4,1323.3872,3787286263.449887
5,1115.0306,3787286263.449887
5,755.45807,3787286263.4524636
4,554.34106,3787286263.4526525
5,1560.7124,3787286263.452685
4,736.48834,3787286263.4539914
4,921.187,3787286263.4583645
5,229.04913,3787286263.4583645
4,951.0741,3787286263.4606853
4,922.18933,3787286263.461833
4,999.36725,3787286263.4618936
5,1314.7745,3787286263.4628778
4,557.8036,3787286263.462893
4,408.09473,3787286263.4639797
5,725.18536,3787286263.468173
4,1145.6136,3787286263.468173
4,847.6538,3787286263.4701486
5,946.6247,3787286263.4701486
5,287.1279,3787286263.4737363
5,1157.7489,3787286263.487427
4,635.7105,3787286263.4979863
5,865.67316,3787286263.4979863
5,1301.5442,3787286263.500622
5,362.47333,3787286263.503472
4,1330.4033,3787286263.505521
5,621.5293,3787286263.505521
5,594.2839,3787286263.5065336
5,1161.6171,3787286263.5097275
4,850.75183,3787286263.512543
